image,question,options,answer,difficulty
vqa-032.jpg,"In parallelogram $ABCD$ of the accompanying diagram, line $DP$ is drawn bisecting $BC$ at $N$ and meeting $AB$ (extended) at $P$. From vertex $C$, line $CQ$ is drawn bisecting side $AD$ at $M$ and meeting $AB$ (extended) at $Q$. Lines $DP$ and $CQ$ meet at $O$. If the area of parallelogram $ABCD$ is $k$, then the area of the triangle $QPO$ is equal to",['$k$' '$\frac{6k}{5}$' '$\frac{9k}{8}$' '$\frac{5k}{4}$' '$2k$'],C,5
vqa-033.jpg,There used to be 5 parrots in my cage. Their average value was $€ 6000$. One day while I was cleaning out the cage the most beautiful parrot flew away. The average value of the remaining four parrots was $€ 5000$. What was the value of the parrot that escaped?,['$€ 1000$' '$€ 2000$' '$€ 5500$' '$€ 6000$' '$€ 10000$'],E,4
vqa-034.jpg,"In the diagram on the right we want to colour the fields with the colours A, B, C and D so that adjacent fields are always in different colours. (Even fields that share only one corner, count as adjacent.) Some fields have already been coloured in. In which colour can the grey field be coloured in?","['either A or B' 'only C' 'only D' 'either C or D' 'A, B, C or D']",D,5
vqa-035.jpg,"In the figure below, choose point $D$ on $\overline{BC}$ so that $\triangle ACD$ and $\triangle ABD$ have equal perimeters. What is the area of $\triangle ABD$?","['$\frac{3}{4}$' '$\frac{3}{2}$' '$2$' '$\frac{12}{5}$'
 '$\frac{5}{2}$']",D,3
vqa-036.jpg,"Sets A and B, shown in the venn diagram, have the same number of elements. Thier union has 2007 elements and their intersection has 1001 elements. Find the number of elements in A.
",['$03$' '$1006$' '$504$' '$1507$' '$1510$'],C,4
vqa-037.jpg,"Lisa needs exactly 3 pieces to complete her jigsaw.
Which of the 4 pieces is left over?",['A' 'B' 'C' 'D' 'C or D'],A,1
vqa-038.jpg,"The side lengths of each of the small squares in the diagram are 1. How long is the shortest path from ""Start"" to ""Ziel"", if you are only allowed to move along the sides and the diagonals of the squares?","['$2 \sqrt{5}$' '$\sqrt{10}+\sqrt{2}$' '$2+2 \sqrt{2}$'
 '$4 \sqrt{2}$' '6']",C,3
vqa-039.jpg,A square with perimeter $48 \mathrm{~cm}$ is cut into two equally big pieces with one cut. They are fitted together to make a rectangle as shown in the diagram. How big is the perimeter of that rectangle?,"['$24 \mathrm{~cm}$' '$30 \mathrm{~cm}$' '$48 \mathrm{~cm}$'
 '$60 \mathrm{~cm}$' '$72 \mathrm{~cm}$']",D,1
vqa-040.jpg,"Bob folds a piece of paper, then punches a hole into the paper and unfolds it again. The unfolded paper then looks like this:
Along which dotted line has Bob folded the paper beforehand?",['A' 'B' 'C' 'D' 'E'],C,1
vqa-041.jpg,The rectangles $S_{1}$ and $S_{2}$ shown in the picture have the same area. Determine the ratio $x: y$.,['$1: 1$' '$3: 2$' '$4: 3$' '$7: 4$' '$8: 5$'],E,4
vqa-042.jpg,"A square piece of paper of area $64 \mathrm{~cm}^{2}$ is folded twice, as shown in the diagram. What is the sum of the areas of the two shaded rectangles?","['$10 \mathrm{~cm}^{2}$' '$14 \mathrm{~cm}^{2}$'
 '$15 \mathrm{~cm}^{2}$' '$16 \mathrm{~cm}^{2}$'
 '$24 \mathrm{~cm}^{2}$']",D,1
vqa-043.jpg,"In the diagram below, a diameter of each of the two smaller circles is a radius of the larger circle. If the two smaller circles have a combined area of $1$ square unit, then what is the area of the shaded region, in square units?
","['$\frac{1}{4}$' '$\frac{1}{3}$' '$\frac{1}{2}$' '$1$'
 '$\frac{\pi}{2}$']",D,3
vqa-044.jpg,A figure is made up of three squares. The side length of the smallest square is $6 \mathrm{~cm}$. How long is the side length of the biggest square?,"['$8 \mathrm{~cm}$' '$10 \mathrm{~cm}$' '$12 \mathrm{~cm}$'
 '$14 \mathrm{~cm}$' '$16 \mathrm{~cm}$']",C,3
vqa-045.jpg,"Emily celebrated her birthday on Thursday, and her sister Liepa 8 days earlier. Which weekday was that?",['Wednesday' 'Thursday' 'Friday' 'Tuesday' 'Sunday'],A,2
vqa-046.jpg,"Three villages are connected by paths as shown. From Downend to Uphill, the detour via Middleton is $1 \mathrm{~km}$ longer than the direct path. From Downend to Middleton, the detour via Uphill is $5 \mathrm{~km}$ longer than the direct path. From Uphill to Middleton, the detour via Downend is $7 \mathrm{~km}$ longer than the direct path. What is the length of the shortest of the three direct paths between the villages?","['$1 \mathrm{~km}$' '$2 \mathrm{~km}$' '$3 \mathrm{~km}$'
 '$4 \mathrm{~km}$' '$5 \mathrm{~km}$']",C,2
vqa-047.jpg,"Two opposite sides of a rectangle are each divided into $n$ congruent segments, and the endpoints of one segment are joined to the center to form triangle $A$. The other sides are each divided into $m$ congruent segments, and the endpoints of one of these segments are joined to the center to form triangle $B$. [See figure for $n = 5, m = 7$.]; What is the ratio of the area of triangle $A$ to the area of triangle $B$?
",['1' 'm/n' 'n/m' '2m/n' '2n/m'],B,5
vqa-048.jpg,The picture on the right has been drawn on paper and cut out to make a house. Which of the houses does it make?,['A' 'B' 'C' 'D' 'E'],A,5
vqa-049.jpg,"The diagram shows a circle with centre $O$ as well as a tangent that touches the circle in point $P$. The arc $A P$ has length 20, the arc $B P$ has length 16. What is the size of the angle $\angle A X P$?","['$30^{\circ}$' '$24^{\circ}$' '$18^{\circ}$' '$15^{\circ}$'
 '$10^{\circ}$']",E,4
vqa-050.jpg,The little caterpillar rolls up to go to sleep. What could it look like then?,['A' 'B' 'C' 'D' 'E'],A,1
vqa-051.jpg,PQRS is a rectangle. $T$ is the midpoint of $R S. Q T$ is normal to the diagonal $P R$. What is the ratio of the lengths $P Q: Q R$?,['$2: 1$' '$\sqrt{3}: 1$' '$3: 2$' '$\sqrt{2}: 1$' '$5: 4$'],D,5
vqa-052.jpg,"A rectangular parallelepiped was composed of 4 pieces, each consisting of 4 little cubes. Then one piece was removed (see picture) Which one?",['A' 'B' 'C' 'D' 'E'],C,3
vqa-053.jpg,"The figure shown is the union of a circle and two semicircles of diameters of $ a$ and $ b$, all of whose centers are collinear.
The ratio of the area of the shaded region to that of the unshaded region is","['$\sqrt{\frac{a}{b}}$' '$\frac{a}{b}$' '$\frac{a^2}{b^2}$'
 '$\frac{a + b}{2b}$' '$\frac{a^2 + 2ab}{b^2 + 2ab}$']",B,5
vqa-054.jpg,A rectangular garden is surrounded by a path of constant width. The perimeter of the garden is $24 \mathrm{~m}$ shorter than the distance along the outside edge of the path. What is the width of the path?,"['$1 \mathrm{~m}$' '$2 \mathrm{~m}$' '$3 \mathrm{~m}$'
 '$4 \mathrm{~m}$' '$5 \mathrm{~m}$']",C,3
vqa-055.jpg,"Anna cuts the picture of a mushroom in two halves.
She then arranges the two pieces together to form a new picture. What could this new picture look like?",['A' 'B' 'C' 'D' 'E'],E,1
vqa-056.jpg,Some art work can be seen on a square-shaped transparent piece of foil. The foil is folded over twice as shown in the diagram. What does the foil look like after it has been folded over twice?,['A' 'B' 'C' 'D' 'E'],A,1
vqa-057.jpg,Kathi draws a square with side length $10 \mathrm{~cm}$. Then she joins the midpoints of each side to form a smaller square. What is the area of the smaller square?,"['$10 \mathrm{~cm}^{2}$' '$20 \mathrm{~cm}^{2}$'
 '$25 \mathrm{~cm}^{2}$' '$40 \mathrm{~cm}^{2}$'
 '$50 \mathrm{~cm}^{2}$']",E,2
vqa-058.jpg,"A parallelogram contains two identical regular hexagons. The hexagons share a common side, and each has two sides touching the sides of the parallelogram. What fraction of the parallelogram's area is shaded?","['$\frac{2}{3}$' '$\frac{1}{2}$' '$\frac{1}{3}$' '$\frac{1}{4}$'
 '$\frac{3}{5}$']",B,3
vqa-059.jpg,"In an equilateral triangle with area 1, we draw the six perpendicular lines from the midpoints of each side to the other two sides as seen in the diagram. How big is the area of the grey hexagon that has been created this way?","['$\frac{1}{3}$' '$\frac{2}{5}$' '$\frac{4}{9}$' '$\frac{1}{2}$'
 '$\frac{2}{3}$']",D,4
vqa-060.jpg,"Using a table of a certain height, two identical blocks of wood are placed as shown in Figure 1.  Length $r$ is found to be $32$ inches.  After rearranging the blocks as in Figure 2, length $s$ is found to be $28$ inches.  How high is the table?
","['$28\text{ inches}$' '$29\text{ inches}$' '$30\text{ inches}$'
 '$31\text{ inches}$' '$32\text{ inches}$']",C,5
vqa-061.jpg,"In $ \triangle ABC$, $ AB = BC$, and $ BD$ is an altitude. Point $ E$ is on the extension of $ \overline{AC}$ such that $ BE = 10$. The values of $ \tan CBE$, $ \tan DBE$, and $ \tan ABE$ form a geometric progression, and the values of $ \cot DBE$, $ \cot CBE$, $ \cot DBC$ form an arithmetic progression. What is the area of $ \triangle ABC$?",['$16$' '$\frac{50}{3}$' '$10\sqrt{3}$' '$8\sqrt{5}$' '$18$'],B,5
vqa-062.jpg,"Three circles of radius $ 1$ are externally tangent to each other and internally tangent to a larger circle. What is the radius of the large circle?
","['$\frac{2 + \sqrt{6}}{3}$' '$2$' '$\frac{2 + 3\sqrt{2}}{3}$'
 '$\frac{3 + 2\sqrt{3}}{3}$' '$\frac{3 + \sqrt{3}}{2}$']",D,4
vqa-063.jpg,"A triangular pyramid is built with 10 identical balls, like this. Each ball has one of the letters A, $B, C, D$ and $E$ on it. There are 2 balls marked with each letter. The picture shows 3 side views of the pyramid. What is the letter on the ball with the question mark?",['A' 'B' 'C' 'D' 'E'],A,5
vqa-064.jpg,"The diagram shows four circles each of which touches the largest square and two adjacent circles. A second square has its vertices at the midpoints of the sides of the largest square and the central square has its vertices at the centres of the circles.
What is the ratio of the total shaded area to the area of the outer square?",['$\pi: 12$' '$1: 4$' '$(\pi+2): 16$' '$1: 3$' '$\pi: 4$'],B,3
vqa-065.jpg,A star consist of a square and four triangles. All sides of the triangles are equally long. The perimeter of the square is $36 \mathrm{~cm}$. What is the perimeter of the star?,"['$144 \mathrm{~cm}$' '$120 \mathrm{~cm}$' '$104 \mathrm{~cm}$'
 '$90 \mathrm{~cm}$' '$72 \mathrm{~cm}$']",E,3
vqa-066.jpg,In the picture opposite we see that $1+3+5+7=4 \times 4$. How big is $1+3+5+7+\ldots+17+19$?,"['$10 \times 10$' '$11 \times 11$' '$12 \times 12$' '$13 \times 13$'
 '$14 \times 14$']",A,3
vqa-067.jpg,"In $\triangle ABC$, $AB = 5, BC = 7, AC = 9$ and $D$ is on $\overline{AC}$ with $BD = 5$. Find the ratio of $AD: DC$.
",['4:3' '7:5' '11:6' '13:5' '19:8'],E,5
vqa-068.jpg,The rooms in Kanga's house are numbered. Eva enters the house through the main entrance. Eva has to walk through the rooms in such a way that each room that she enters has a number higher than the previous one. Through which door does Eva leave the house?,['A' 'B' 'C' 'D' 'E'],D,2
vqa-069.jpg,$ ABCD$ is a rectangle (see the accompanying diagram) with $ P$ any point on $ \overline{AB}$. $ \overline{PS} \perp \overline{BD}$ and $ \overline{PR} \perp \overline{AC}$. $ \overline{AF} \perp \overline{BD}$ and $ \overline{PQ} \perp \overline{AF}$. Then $ PR + PS$ is equal to:,['PQ' 'AE' 'PT + AT' 'AF' 'EF'],D,5
vqa-070.jpg,"Right isosceles triangles are constructed on the sides of a 3-4-5 right triangle, as shown.  A capital letter represents the area of each triangle.  Which one of the following is true?
",['$X+Z=W+Y$' '$W+X=Z$' '$3X+4Y=5Z$' '$X+W=\frac{1}{2}(Y+Z)$' '$X+Y=Z$'],E,3
vqa-071.jpg,"In a square with sides of length $6 \mathrm{~cm}$ the points $A$ and $B$ are on one of the axes of symmetry, as shown. The shaded area is equal to each of the two unshaded areas.
What is the length of $A B$ ?","['$3.6 \mathrm{~cm}$' '$3.8 \mathrm{~cm}$' '$4.0 \mathrm{~cm}$'
 '$4.2 \mathrm{~cm}$' '$4.4 \mathrm{~cm}$']",C,2
vqa-072.jpg,Amelia glues these six stickers on the faces of a cube:. The figure shows this cube in two different positions. Which adhesive is on the opposite side of the duck?,['(A)' '(B)' '(C)' '(D)' '(E)'],E,5
vqa-073.jpg,"

In the adjoining figure, circle $\mathit{K}$ has diameter $\mathit{AB}$; cirlce $\mathit{L}$ is tangent to circle $\mathit{K}$ and to $\mathit{AB}$ at the center of circle $\mathit{K}$; and circle $\mathit{M}$ tangent to circle $\mathit{K}$, to circle $\mathit{L}$ and $\mathit{AB}$. The ratio of the area of circle $\mathit{K}$ to the area of circle $\mathit{M}$ is",['$12$' '$14$' '$16$' '$18$' '$\text{not an integer}$'],C,5
vqa-074.jpg,"On a checkerboard composed of 64 unit squares, what is the probability that a randomly chosen unit square does  not   touch the outer edge of the board?","['$\frac{1}{16}$' '$\frac{7}{16}$' '$\frac{1}{2}$' '$\frac{9}{16}$'
 '$\frac{49}{64}$']",D,5
vqa-075.jpg,"Max wants to complete the jigsaw shown. He has different pieces.
Which pieces does he have to use?",['A' 'B' 'C' 'D' 'E'],A,1
vqa-076.jpg,Martin has three cards that are labelled on both sides with a number. Martin places the three cards on the table without paying attention to back or front. He adds the three numbers that he can then see. How many different sums can Martin get that way?,['3' '5' '6' '9' 'A different amount.'],E,3
vqa-077.jpg,Which figure can be made from the 2 pieces shown on the right?,['A' 'B' 'C' 'D' 'E'],A,1
vqa-078.jpg,The star shown in the picture is made by fitting together 12 congruent equilateral triangles. The perimeter of the star is $36 \mathrm{~cm}$. What is the perimeter of the grey hexagon?,"['$6 \mathrm{~cm}$' '$12 \mathrm{~cm}$' '$18 \mathrm{~cm}$'
 '$24 \mathrm{~cm}$' '$30 \mathrm{~cm}$']",C,4
vqa-079.jpg,"Jane, Kate and Lynn go for a walk. Jane walks at the very front, Kate in the middle and Lynn at the very back. Jane weighs $500 \mathrm{~kg}$ more than Kate and Kate weighs $1000 \mathrm{~kg}$ less than Lynn. Which of the following pictures shows Jane, Kate and Lynn in the right order?",['(A)' '(B)' '(C)' '(D)' '(E)'],A,3
vqa-080.jpg,A digital clock shows the following time: What time is it when it uses the exactly same digits again for the first time after that?,['A' 'B' 'C' 'D' 'E'],C,3
vqa-081.jpg,A cube (on the right) is colored in three colors so that each face has exactly one color and the opposite face has the same color. Which of the following developments is the development of this cube?,['A' 'B' 'C' 'D' 'E'],E,5
vqa-082.jpg,"Eight semicircles line the inside of a square with side length 2 as shown. What is the radius of the circle tangent to all of these semicircles?
","['$\frac{1+\sqrt{2}}4$' '$\frac{\sqrt{5}-1}2$'
 '$\frac{\sqrt{3}+1}4$' '$\frac{2\sqrt{3}}5$' '$\frac{\sqrt{5}}3$']",B,4
vqa-083.jpg,"If this path is to continue in the same pattern:

then which sequence of arrows goes from point $425$ to point $427$?
",['A' 'B' 'C' 'D' 'E'],A,4
vqa-084.jpg,Georg starts his training at 5 o'clock in the afternoon. It takes him 5 minutes to get to the bus stop. The bus journey takes 15 minutes. Then he has to walk for 5 minutes to get to the pitch. The bus comes at 6 o'clock in the morning for the first time and then every 10 minutes. What is the latest possible time he has to leave the house in order to be at the pitch on time?,['A' 'B' 'C' 'D' 'E'],A,2
vqa-085.jpg,"Tarzan wanted to draw a rhombus made up of two equilateral triangles. He drew the line segments inaccurately. When Jane checked the measurements of the four angles shown, she sees that they are not equally big (see diagram). Which of the five line segments in this diagram is the longest?",['AD' 'AC' 'AB' 'BC' 'BD'],A,4
vqa-086.jpg,"A caterpillar crawled up a smooth slope from $A$ to $B$, and crept down the stairs from $B$ to $C$. What is the ratio of the distance the caterpillar travelled from $B$ to $C$ to the distance it travelled from $A$ to $B$ ?",['$1: 1$' '2:1' '3:1' '$\sqrt{2}: 1$' '$\sqrt{3}: 1$'],E,4
vqa-087.jpg,"Figure 1 is called a ""stack map."" The numbers tell how many cubes are stacked in each position. Fig. 2 shows these cubes, and Fig. 3 shows the view of the stacked cubes as seen from the front.

Which of the following is the front view for the stack map in Fig. 4?
",['A' 'B' 'C' 'D' 'E'],B,4
vqa-088.jpg,"In the adjoining plane figure, sides $AF$ and $CD$ are parallel, as are sides $AB$ and $EF$, and sides $BC$ and $ED$. Each side has length of 1.  Also, $\measuredangle FAB = \measuredangle BCD = 60^\circ$. The area of the figure is
",['$\frac{\sqrt{3}}{2}$' '$1$' '$\frac{3}{2}$' '$\sqrt{3}$' '$2$'],D,5
vqa-089.jpg,In which box are the most triangles?,['A' 'B' 'C' 'D' 'E'],B,1
vqa-090.jpg,"A cube with side length $ 1$ is sliced by a plane that passes through two diagonally opposite vertices $ A$ and $ C$ and the midpoints $ B$ and $ D$ of two opposite edges not containing $ A$ and $ C$, ac shown. What is the area of quadrilateral $ ABCD$?","['$\frac{\sqrt{6}}{2}$' '$\frac{5}{4}$' '$\sqrt{2}$' '$\frac{3}{2}$'
 '$\sqrt{3}$']",A,2
vqa-091.jpg,There are rectangular cards divided into 4 equal cells with different shapes drawn in each cell. Cards can be placed side by side only if the same shapes appear in adjacent cells on their common side. 9 cards are used to form a rectangle as shown in the figure. Which of the following cards was definitely NOT used to form this rectangle?,['A' 'B' 'C' 'D' 'E'],E,2
vqa-092.jpg,"Grandma's watch has an hour, minute and second hand. We don't know which hand does which job, but we know that the watch tells the correct time. At 12:55:30 hours the watch looked as pictured. How will the watch look at 8:11:00 hours?",['A' 'B' 'C' 'D' 'E'],E,2
vqa-093.jpg,"In the figure, $\mathrm{ABCE}$ is a square. $\mathrm{CDE}$ and $\mathrm{BCF}$ are equilateral triangles. The length of $\mathrm{AB}$ is 1. How long is $\mathrm{FD}$?","['$\sqrt{2}$' '$\frac{\sqrt{3}}{2}$' '$\sqrt{3}$' '$\sqrt{5}-1$'
 '$\sqrt{6}-1$']",A,4
vqa-094.jpg,A square piece of paper is folded twice so that the result is a square again. In this square one of the corners is cut off. Then the paper is folded out. Which sample below cannot be obtained in this way?,['A' 'B' 'C' 'D' 'E'],E,1
vqa-095.jpg,"The points $N, M$ and $L$ lie on the sides of an equilateral triangle $A B C$ so that $\mathrm{NM} \perp \mathrm{BC}, \mathrm{ML} \perp \mathrm{AB}$ and $\mathrm{LN} \perp \mathrm{AC}$ holds true. The area of the triangle $\mathrm{ABC}$ is $36 \mathrm{~cm}^{2}$. What is the area of the triangle LMN?","['$9 \mathrm{~cm}^{2}$' '$12 \mathrm{~cm}^{2}$' '$15 \mathrm{~cm}^{2}$'
 '$16 \mathrm{~cm}^{2}$' '$18 \mathrm{~cm}^{2}$']",B,3
vqa-096.jpg,"The pie chart beside refers to the number of inhabitants of the five zones of a city. The central zone has the same population as the north, west and east zones together and the south zone has half of the inhabitants of the west zone. What is the percentage difference between the inhabitants of the north and east zones?",['$6 \%$' '$11 \%$' '$12 \%$' '$13 \%$' '$18 \%$'],D,3
vqa-097.jpg,"Mother halves the birthday cake. One half she then halves again. Of that she again halves one of the smaller pieces. Of these smaller pieces she once more halves one of them (see diagram). One of the two smallest pieces weighs $100 \mathrm{~g}$.
How much does the entire cake weigh?","['$600 \mathrm{~g}$' '$800 \mathrm{~g}$' '$1200 \mathrm{~g}$'
 '$1600 \mathrm{~g}$' '$2000 \mathrm{~g}$']",D,2
