premise,hypothesis,label
Jimi Hendrix is wearing a blue outfit while playing his guitar.,A famous musician is playing his guitar,entails
Jimi Hendrix is wearing a blue outfit while playing his guitar.,Jimi Hendrix is asleep on his tour bus.,contradicts
"A young man with a red beanie cap, green shirt, and blue jeans, sits on his skateboard as he watches.",The man is 90 years old.,contradicts
"A young man with a red beanie cap, green shirt, and blue jeans, sits on his skateboard as he watches.",The man is wearing a gold chain.,neutral
"A young man with a red beanie cap, green shirt, and blue jeans, sits on his skateboard as he watches.",The man has his butt on the skateboard.,entails
A man is cooking on a flat top range in his kitchen.,An old man cooks steak on a stove top.,neutral
A man is cooking on a flat top range in his kitchen.,Man washes his hands.,contradicts
A man is cooking on a flat top range in his kitchen.,Man cooks on a flat stove.,entails
A black and white dog looks back while walking on the beach.,The dog is asleep at home.,contradicts
A black and white dog looks back while walking on the beach.,The dog was looking for a stick on the beach.,neutral
A black and white dog looks back while walking on the beach.,An animal is outdoors.,entails
"A dog with black and white spots walks on the beach, looking behind itself.",The animal is looking for it's owner.,neutral
"A dog with black and white spots walks on the beach, looking behind itself.",The animal is running from the dog catcher.,contradicts
"A dog with black and white spots walks on the beach, looking behind itself.",The animal is alone.,neutral
A black and white dog is walking on a beach.,There are no dogs on the beach,contradicts
A black and white dog is walking on a beach.,Two dogs are outside.,entails
A black and white dog is walking on a beach.,Two dogs are walking home,neutral
"Black and white dog, walking on beach and looking back.","A black and white dog, walking on the beach looks back to find his master.",neutral
"Black and white dog, walking on beach and looking back.",A dog looks behind himself while walking on the beach.,entails
"Black and white dog, walking on beach and looking back.",A dog sits in the middle of the road.,contradicts
A man browses a busy farmer's market.,There is a man at a garage sale hoping to talk someone down on the price of a neat gadget he found.,contradicts
A man browses a busy farmer's market.,"The man is looking to get started on an all-local, organic, fruit and veggie diet.",neutral
A man browses a busy farmer's market.,There is a man at a farmer's market.,entails
A black and white dog walks on a beach.,The dog is walking with its owner.,neutral
A black and white dog walks on a beach.,The dog is near the ocean.,entails
A black and white dog walks on a beach.,The dog is at the city park.,contradicts
A child in a blue shirt is riding a horse,A kid is on an animal.,entails
A child in a blue shirt is riding a horse,The girl is at a petting zoo.,neutral
A child in a blue shirt is riding a horse,The boy is skateboarding on the sidewalk.,contradicts
"A young boy, dressed in cowboy attire, rides a galloping horse.",A young boy riding the horse he got for his birthday.,neutral
"A young boy, dressed in cowboy attire, rides a galloping horse.",A boy riding a horse.,entails
"A young boy, dressed in cowboy attire, rides a galloping horse.",A woman chasing a horse down the street.,contradicts
"A boy in a blue shirt, hat and boots rides on a brown horse.",A boy is riding in an equestrian competition.,neutral
"A boy in a blue shirt, hat and boots rides on a brown horse.",A girl is playing hopscotch.,contradicts
"A boy in a blue shirt, hat and boots rides on a brown horse.",A boy is riding a horse.,entails
"A shirtless, skinny older man, welding a pot with a handheld welding tool.",There is a clothed man welding,contradicts
"A shirtless, skinny older man, welding a pot with a handheld welding tool.",There is a shirtless man welding a present,neutral
"A shirtless, skinny older man, welding a pot with a handheld welding tool.",There is a shirtless man welding,entails
A scared kid is riding a horse.,A frightened child is riding an animal.,entails
A scared kid is riding a horse.,A frightened child is nervously riding an horse.,neutral
A scared kid is riding a horse.,A child is asleep on the horse.,contradicts
A man wearing a red hat and holding a fake pistol talking to a girl in a large hallway.,The man is holding a knife.,contradicts
